BehaviorSpace results (NetLogo 6.0.3),,,,,
ch9_simple_birth_rates.nlogo,,,,,
Effect_of_blue_fertility_om_red_extinction,,,,,
03/16/2019 15:38:22:767 +0900,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,
-50,50,-50,50,,
[run number],carrying-capacity,red-fertility,blue-fertility,[step],ticks
220,1000,2,4.2,16,16
221,1000,2,4.3,12,12
222,1000,2,4.3,15,15
223,1000,2,4.3,10,10
224,1000,2,4.3,13,13
225,1000,2,4.3,14,14
226,1000,2,4.3,18,18
227,1000,2,4.3,10,10
228,1000,2,4.3,12,12
229,1000,2,4.3,13,13
230,1000,2,4.3,12,12
231,1000,2,4.4,15,15
232,1000,2,4.4,14,14
233,1000,2,4.4,10,10
234,1000,2,4.4,12,12
235,1000,2,4.4,12,12
236,1000,2,4.4,17,17
237,1000,2,4.4,10,10
238,1000,2,4.4,12,12
239,1000,2,4.4,13,13
240,1000,2,4.4,11,11
241,1000,2,4.5,16,16
242,1000,2,4.5,15,15
243,1000,2,4.5,13,13
244,1000,2,4.5,11,11
245,1000,2,4.5,13,13
246,1000,2,4.5,11,11
247,1000,2,4.5,11,11
248,1000,2,4.5,10,10
249,1000,2,4.5,10,10
250,1000,2,4.5,15,15
251,1000,2,4.6,14,14
252,1000,2,4.6,13,13
253,1000,2,4.6,13,13
254,1000,2,4.6,9,9
255,1000,2,4.6,12,12
256,1000,2,4.6,11,11
257,1000,2,4.6,15,15
258,1000,2,4.6,10,10
259,1000,2,4.6,10,10
260,1000,2,4.6,10,10
261,1000,2,4.7,9,9
262,1000,2,4.7,13,13
263,1000,2,4.7,10,10
264,1000,2,4.7,11,11
265,1000,2,4.7,14,14
266,1000,2,4.7,10,10
267,1000,2,4.7,13,13
268,1000,2,4.7,12,12
269,1000,2,4.7,10,10
270,1000,2,4.7,17,17
271,1000,2,4.8,13,13
272,1000,2,4.8,8,8
273,1000,2,4.8,12,12
274,1000,2,4.8,13,13
275,1000,2,4.8,13,13
276,1000,2,4.8,11,11
277,1000,2,4.8,17,17
278,1000,2,4.8,11,11
279,1000,2,4.8,9,9
280,1000,2,4.8,12,12
281,1000,2,4.9,11,11
282,1000,2,4.9,12,12
283,1000,2,4.9,11,11
284,1000,2,4.9,11,11
285,1000,2,4.9,10,10
286,1000,2,4.9,9,9
287,1000,2,4.9,13,13
288,1000,2,4.9,9,9
289,1000,2,4.9,18,18
290,1000,2,4.9,8,8
291,1000,2,5,10,10
292,1000,2,5,11,11
293,1000,2,5,9,9
294,1000,2,5,12,12
295,1000,2,5,12,12
296,1000,2,5,11,11
297,1000,2,5,10,10
298,1000,2,5,9,9
299,1000,2,5,10,10
300,1000,2,5,9,9
